dataset,split,image_path,species,health_labels,health_class,bbox
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/Fig.%2014_opta.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/tomato-blight-phytophthora-infestans-close-up-of-infected-leaf-b5n95x.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/Late-blight-tomato-leaf-VikramBisht-MBag.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/lb_leaf_lesions3x1200.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/lb_leaf_lesions2x1200.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/late_blight_tomato_leaf.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/LateBlt09_05.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/photo-9.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/dsc_4621c.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/late_blight_2013_longisland1x1200.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/IMG_1526.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/F%294.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/lateblightTom_lesion.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/IMG_5813.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/IMG_2254.JPG.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/late_blight_tomato_leaf5x12001.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/Late-Blight-on-Tomato-4JDill.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/IMG_5368.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/LBleaf2INIA_0.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/LateBlight-Leaflet-Large-Spot_9005-ROTATED-sbzntn.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/tomato-late-blight-foliar-lesions_Scot-Nelson_CC-BY-SA-2.0.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/TomatoBlight.JPG.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/Late_blight_on_tomato_leaf_%287871756748%29.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/late_blight_tomato_transplant2x1200.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/LateBlight-Tomato-JJ-2009-17nxg4q.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/tomato-late-blight-phytophthora-infestans-lesions-and-damage-on-tomato-bh3w9j.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/tomato-late-blight-conn-2015-137c.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/600.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/LateBlt_FromRusinek.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/tomato+blight.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/Late_Blight_2.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/late-blight-TomC2-10.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/a7710b5901ba1f8e9759ef7576cd9f09.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/lateblightTom_lesion3.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/tomato.early.blightH.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/924977LateBlightLeaf.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/tomato-late-blight-conn-2015-139rcs.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/tomato-late-blight-phytophthora-infestans-necrosis-sporulation-on-a-tomato-leaf-underside-XA233C.jpg,tomato,late blight,unhealthy,
PlantDoc,train,datasets/PlantDoc/train/Tomato leaf late blight/late_blight_drought_leavescuux1200.jpg,tomato,late blight,unhealthy,
