received_timestamp,sent_timestamp,latency_ms
22:06:12.543,22:06:09.119,3424
22:06:26.048,22:06:23.845,2203
22:06:30.340,22:06:27.775,2565
22:07:51.809,22:07:48.387,3422
22:07:52.942,22:07:50.549,2393
22:07:55.870,22:07:52.729,3141
22:07:57.069,22:07:54.647,2422
22:07:58.762,22:07:56.592,2170
22:08:00.820,22:07:58.615,2205
22:08:02.914,22:08:00.700,2214
22:08:05.716,22:08:02.800,2916
22:08:06.670,22:08:04.641,2029
22:08:09.737,22:08:06.754,2983
22:08:10.406,22:08:08.587,1819
22:08:13.475,22:08:10.778,2697
22:08:15.233,22:08:12.774,2459
22:08:17.647,22:08:14.759,2888
22:08:18.543,22:08:16.664,1879
22:08:20.839,22:08:18.555,2284
22:08:22.615,22:08:20.720,1895
22:08:25.317,22:08:22.751,2566
22:08:26.947,22:08:24.694,2253
22:08:29.083,22:08:26.706,2377
22:08:31.469,22:08:28.664,2805
22:08:33.324,22:08:30.499,2825
22:08:35.249,22:08:32.610,2639
22:08:36.992,22:08:34.808,2184
22:08:39.372,22:08:36.557,2815
22:08:42.264,22:08:38.587,3677
22:08:42.758,22:08:40.619,2139
22:08:45.518,22:08:42.489,3029
22:08:48.275,22:08:44.162,4113
22:08:49.139,22:08:46.688,2451
22:08:51.481,22:08:48.660,2821
22:08:52.915,22:08:50.860,2055
22:08:56.254,22:08:52.405,3849
22:08:57.532,22:08:54.699,2833
22:08:58.964,22:08:56.550,2414
22:09:01.723,22:08:58.699,3024
22:09:03.553,22:09:00.836,2717
22:09:05.091,22:09:02.681,2410
22:09:07.587,22:09:04.734,2853
22:09:09.238,22:09:06.648,2590
22:09:11.369,22:09:08.702,2667
22:09:13.667,22:09:10.712,2955
22:09:15.099,22:09:12.753,2346
22:09:17.373,22:09:14.782,2591
22:09:18.717,22:09:16.696,2021
22:09:21.441,22:09:18.639,2802
22:09:23.535,22:09:20.648,2887
22:09:25.029,22:09:22.593,2436
22:09:27.675,22:09:24.579,3096
22:09:29.293,22:09:26.769,2524
22:09:31.889,22:09:28.810,3079
22:09:32.990,22:09:30.786,2204
22:09:34.904,22:09:32.627,2277
22:09:37.448,22:09:34.759,2689
22:09:39.333,22:09:36.644,2689
22:09:42.017,22:09:38.701,3316
22:09:43.660,22:09:40.764,2896
22:09:45.593,22:09:42.485,3108
22:09:47.715,22:09:44.759,2956
22:09:49.058,22:09:46.578,2480
22:09:51.667,22:09:48.630,3037
22:09:52.996,22:09:50.768,2228
22:09:56.000,22:09:52.615,3385
22:09:57.229,22:09:54.453,2776
22:09:59.713,22:09:56.609,3104
22:10:01.035,22:09:58.585,2450
22:10:03.482,22:10:00.740,2742
22:10:06.770,22:10:02.507,4263
22:10:07.557,22:10:04.672,2885
22:10:08.962,22:10:06.465,2497
22:10:12.051,22:10:08.561,3490
22:10:13.640,22:10:10.712,2928
22:10:15.725,22:10:12.678,3047
22:10:17.264,22:10:14.544,2720
22:10:19.609,22:10:16.632,2977
22:10:21.750,22:10:18.576,3174
22:10:22.905,22:10:20.534,2371
22:10:25.989,22:10:22.653,3336
22:10:27.672,22:10:24.793,2879
22:10:29.533,22:10:26.631,2902
22:10:31.541,22:10:28.617,2924
22:10:33.595,22:10:30.792,2803
22:10:35.249,22:10:32.815,2434
22:10:37.272,22:10:34.681,2591
22:10:39.427,22:10:36.704,2723
22:10:41.359,22:10:38.648,2711
22:10:44.124,22:10:40.695,3429
22:10:45.490,22:10:42.686,2804
22:10:48.052,22:10:44.656,3396
22:10:49.227,22:10:46.570,2657
22:10:52.479,22:10:48.794,3685
22:10:52.978,22:10:50.288,2690
22:10:55.454,22:10:52.796,2658
22:10:57.631,22:10:54.736,2895
22:10:59.797,22:10:56.521,3276
22:11:01.238,22:10:58.653,2585
22:11:03.365,22:11:00.820,2545
22:11:05.420,22:11:02.781,2639
22:11:07.562,22:11:04.813,2749
22:11:09.049,22:11:06.776,2273
22:11:11.314,22:11:08.752,2562
22:11:13.278,22:11:10.706,2572
22:11:15.795,22:11:12.708,3087
22:11:17.144,22:11:14.812,2332
22:11:19.911,22:11:16.640,3271
22:11:21.558,22:11:18.716,2842
22:11:23.459,22:11:20.655,2804
22:11:25.710,22:11:22.738,2972
22:11:27.567,22:11:24.472,3095
22:11:30.022,22:11:26.557,3465
22:11:31.407,22:11:28.693,2714
22:11:34.034,22:11:30.660,3374
22:11:35.408,22:11:32.312,3096
22:11:38.267,22:11:34.644,3623
22:11:39.314,22:11:36.340,2974
22:11:41.843,22:11:38.547,3296
22:11:43.747,22:11:40.581,3166
22:11:45.864,22:11:42.628,3236
22:11:47.381,22:11:44.499,2882
22:11:50.353,22:11:46.766,3587
22:11:51.436,22:11:48.713,2723
22:12:46.914,22:12:45.075,1839
22:12:49.075,22:12:47.135,1940
22:12:51.024,22:12:49.080,1944
22:12:53.192,22:12:50.987,2205
22:12:55.157,22:12:52.898,2259
22:12:57.207,22:12:55.065,2142
