dataset,split,image_path,species,health_labels,health_class,bbox
HousePlant,train,datasets/HousePlants/train/images/3_jpg.rf.1edc79b7a81d68d477f8a9b9bda3523c.jpg,Spear-Plant-Dracaena-angolensis-,,healthy,"[('Spear-Plant-Dracaena-angolensis-', 0.20444444444444446, 0.405, 0.1922222222222222, 0.8066666666666666), ('Spear-Plant-Dracaena-angolensis-', 0.8177777777777778, 0.475, 0.15666666666666668, 0.9283333333333333), ('Spear-Plant-Dracaena-angolensis-', 0.66, 0.4475, 0.15555555555555556, 0.89), ('Spear-Plant-Dracaena-angolensis-', 0.5011111111111111, 0.42083333333333334, 0.17777777777777778, 0.8416666666666667), ('Spear-Plant-Dracaena-angolensis-', 0.3527777777777778, 0.4275, 0.22111111111111112, 0.855)]"
HousePlant,train,datasets/HousePlants/train/images/Chlorophytumcomosum_175_jpg.rf.2c66f039918a1a5d5d41650be4bb302c.jpg,Spider-Plant-Chloropythum-Comosum-,leaf curl,unhealthy,"[('Spider-Plant-Chloropythum-Comosum-', 0.5, 0.5, 1.0, 1.0), ('Unhealthy-Leaf-Curl', 0.35512820512820514, 0.6160256410256411, 0.7102564102564103, 0.767948717948718), ('Unhealthy-Leaf-Curl', 0.658974358974359, 0.5089743589743589, 0.6820512820512821, 0.958974358974359), ('Unhealthy-Leaf-Curl', 0.4794871794871795, 0.3032051282051282, 0.958974358974359, 0.6064102564102564)]"
HousePlant,train,datasets/HousePlants/train/images/20241002_131144_jpg.rf.7e9b090e7631a12229b59322a6d34ff6.jpg,Snake-Plant-Dracaena-trifasciata-,,healthy,"[('Snake-Plant-Dracaena-trifasciata-', 0.666748046875, 0.5891927083333334, 0.337890625, 0.6673177083333334), ('Snake-Plant-Dracaena-trifasciata-', 0.73095703125, 0.736328125, 0.3037109375, 0.44140625), ('Snake-Plant-Dracaena-trifasciata-', 0.396728515625, 0.625, 0.455078125, 0.6380208333333334)]"
HousePlant,train,datasets/HousePlants/train/images/IMG_2196_jpeg.rf.e2fcec6fbe02a35ffb0c93a0a9242bee.jpg,Swiss Cheese Plant -Monstera Deliciosa-,,healthy,"[('Swiss Cheese Plant -Monstera Deliciosa-', 0.41259765625, 0.6555989583333334, 0.66650390625, 0.5611979166666666)]"
HousePlant,train,datasets/HousePlants/train/images/Alocasia-Zebrina_jpg.rf.6e94aab740304c1c277e7319e841fc8e.jpg,Alocasia-Green-Velvet-Micholitziana-Frydek-,,healthy,"[('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.2569444444444444, 0.3690614136732329, 0.35, 0.7103128621089224), ('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.5180555555555556, 0.3551564310544612, 0.26666666666666666, 0.6257242178447276), ('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.7453703703703703, 0.5469293163383546, 0.262037037037037, 0.5677867902665121)]"
HousePlant,train,datasets/HousePlants/train/images/Dehydration_SnakePlant-1-_jpeg.rf.6ed575b8f6184c6e1b6a182d04cf8f50.jpg,,"dehydration, sunburn",unhealthy,"[('Unhealthy-Dehydration', 0.7021484375, 0.756591796875, 0.580078125, 0.48681640625), ('Unhealthy-Sunburn', 0.5914713541666666, 0.145751953125, 0.14322916666666666, 0.17919921875), ('Unhealthy-Sunburn', 0.2516276041666667, 0.92431640625, 0.07161458333333333, 0.1123046875)]"
HousePlant,train,datasets/HousePlants/train/images/-no-1-31-_jpg.rf.8824e26089fefb7ad8dec745582c2057.jpg,Pothos-Epipremnum-aureum-,,healthy,"[('Pothos-Epipremnum-aureum-', 0.679, 0.514, 0.252, 0.286), ('Pothos-Epipremnum-aureum-', 0.385, 0.488, 0.314, 0.238)]"
HousePlant,train,datasets/HousePlants/train/images/462560854_2775000929337750_7118087266003354468_n_jpg.rf.2e7c9a0171ebc9bd4f639da888365a21.jpg,Snake-Plant-Dracaena-trifasciata-,sunburn,unhealthy,"[('Snake-Plant-Dracaena-trifasciata-', 0.6460784313725491, 0.25980392156862747, 0.19411764705882353, 0.5196078431372549), ('Unhealthy-Sunburn', 0.6683006535947712, 0.22058823529411764, 0.05032679738562092, 0.045098039215686274)]"
HousePlant,train,datasets/HousePlants/train/images/10047_jpg.rf.1d6d45b545eae7e055d55fb684702422.jpg,Pothos-Epipremnum-aureum-,,healthy,"[('Pothos-Epipremnum-aureum-', 0.592017857142857, 0.4740714285714286, 0.17516071428571434, 0.23491071428571425), ('Pothos-Epipremnum-aureum-', 0.5215535714285714, 0.33082142857142854, 0.2336071428571429, 0.13866071428571425), ('Pothos-Epipremnum-aureum-', 0.6556071428571428, 0.23973214285714287, 0.222125, 0.16271428571428573), ('Pothos-Epipremnum-aureum-', 0.44419642857142855, 0.43739285714285714, 0.19580357142857138, 0.1501071428571429), ('Pothos-Epipremnum-aureum-', 0.2723392857142857, 0.344, 0.12708928571428574, 0.1466785714285714), ('Pothos-Epipremnum-aureum-', 0.4980535714285715, 0.18530357142857143, 0.11558928571428574, 0.16844642857142858)]"
HousePlant,train,datasets/HousePlants/train/images/Mineral-Deficiency_jpg.rf.d2f885211afb4479a51f8c77d6eed675.jpg,,mineral deficiency,unhealthy,"[('Unhealthy-Mineral-Deficiency', 0.5966277561608301, 0.542724609375, 0.8067444876783398, 0.83935546875)]"
HousePlant,train,datasets/HousePlants/train/images/10017_jpg.rf.3c74d07d8e6efc82588b94e1dde8723c.jpg,Pothos-Epipremnum-aureum-,,healthy,"[('Pothos-Epipremnum-aureum-', 0.31689453125, 0.5351390922401171, 0.4541015625, 0.5314787701317716), ('Pothos-Epipremnum-aureum-', 0.58251953125, 0.7108345534407028, 0.53125, 0.48755490483162517), ('Pothos-Epipremnum-aureum-', 0.146484375, 0.3689604685212299, 0.29296875, 0.3396778916544656), ('Pothos-Epipremnum-aureum-', 0.34423828125, 0.09297218155197658, 0.3935546875, 0.18594436310395315), ('Pothos-Epipremnum-aureum-', 0.65185546875, 0.20571010248901903, 0.2841796875, 0.4011713030746706)]"
HousePlant,train,datasets/HousePlants/train/images/-no-1-34-_jpg.rf.7d8100313b34df76275010c9c6973739.jpg,Pothos-Epipremnum-aureum-,,healthy,"[('Pothos-Epipremnum-aureum-', 0.534, 0.388, 0.168, 0.122), ('Pothos-Epipremnum-aureum-', 0.447, 0.398, 0.132, 0.096), ('Pothos-Epipremnum-aureum-', 0.606, 0.521, 0.154, 0.092), ('Pothos-Epipremnum-aureum-', 0.754, 0.691, 0.19, 0.1), ('Pothos-Epipremnum-aureum-', 0.609, 0.774, 0.13, 0.118), ('Pothos-Epipremnum-aureum-', 0.46, 0.824, 0.158, 0.136), ('Pothos-Epipremnum-aureum-', 0.292, 0.557, 0.168, 0.116), ('Pothos-Epipremnum-aureum-', 0.347, 0.727, 0.14, 0.104), ('Pothos-Epipremnum-aureum-', 0.528, 0.243, 0.146, 0.134), ('Pothos-Epipremnum-aureum-', 0.485, 0.164, 0.14, 0.132), ('Pothos-Epipremnum-aureum-', 0.385, 0.164, 0.136, 0.11), ('Pothos-Epipremnum-aureum-', 0.641, 0.148, 0.186, 0.1), ('Pothos-Epipremnum-aureum-', 0.564, 0.069, 0.18, 0.11)]"
HousePlant,train,datasets/HousePlants/train/images/IMG_20241004_103349_jpg.rf.9d521c9a186fc20f97e63dcff71de6a8.jpg,Snake-Plant-Dracaena-trifasciata-,,healthy,"[('Snake-Plant-Dracaena-trifasciata-', 0.23177083333333334, 0.5302734375, 0.22721354166666666, 0.3798828125)]"
HousePlant,train,datasets/HousePlants/train/images/IMG_2209_jpeg.rf.0a2363db2b16cf823308591067a6b825.jpg,Swiss Cheese Plant -Monstera Deliciosa-,,healthy,"[('Swiss Cheese Plant -Monstera Deliciosa-', 0.170166015625, 0.7161458333333334, 0.34033203125, 0.5520833333333334), ('Swiss Cheese Plant -Monstera Deliciosa-', 0.552734375, 0.80859375, 0.38671875, 0.3828125)]"
HousePlant,train,datasets/HousePlants/train/images/Dehydration_SnakePlant-21-_jpeg.rf.172921df3f42d1153172f4fa64ac0165.jpg,Spider-Plant-Chloropythum-Comosum-,dehydration,unhealthy,"[('Spider-Plant-Chloropythum-Comosum-', 0.18424479166666666, 0.59716796875, 0.3684895833333333, 0.4501953125), ('Unhealthy-Dehydration', 0.203125, 0.481689453125, 0.3098958333333333, 0.2080078125), ('Unhealthy-Dehydration', 0.058919270833333336, 0.693115234375, 0.09895833333333333, 0.236328125), ('Unhealthy-Dehydration', 0.384765625, 0.558349609375, 0.19270833333333334, 0.24267578125), ('Unhealthy-Dehydration', 0.6608072916666666, 0.492431640625, 0.15104166666666666, 0.15380859375)]"
HousePlant,train,datasets/HousePlants/train/images/IMG_2353_jpeg.rf.9db5e458818eb73e9ea7232d067db225.jpg,Swiss Cheese Plant -Monstera Deliciosa-,"sunburn, dehydration",unhealthy,"[('Swiss Cheese Plant -Monstera Deliciosa-', 0.380859375, 0.62109375, 0.6962890625, 0.7578125), ('Unhealthy-Dehydration', 0.2265625, 0.4270833333333333, 0.1640625, 0.2643229166666667), ('Unhealthy-Dehydration', 0.59228515625, 0.9153645833333334, 0.0673828125, 0.12955729166666666), ('Unhealthy-Sunburn', 0.68408203125, 0.84765625, 0.1064453125, 0.3046875), ('Unhealthy-Sunburn', 0.201171875, 0.826171875, 0.3662109375, 0.34765625), ('Unhealthy-Sunburn', 0.447265625, 0.9088541666666666, 0.08447265625, 0.12239583333333333)]"
HousePlant,train,datasets/HousePlants/train/images/alocasia-micholitziana-2-K0X9NN_jpg.rf.6374165974cf2facb3749abf7dab3288.jpg,Alocasia-Green-Velvet-Micholitziana-Frydek-,,healthy,"[('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.5153846153846153, 0.47656105100463686, 0.9692307692307692, 0.9015996908809892), ('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.5166846153846154, 0.3091190108191654, 0.364123076923077, 0.5898995363214837), ('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.6377923076923077, 0.5915765069551777, 0.29057692307692307, 0.633693972179289), ('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.38971538461538463, 0.7384080370942813, 0.21711538461538463, 0.3941267387944359)]"
HousePlant,train,datasets/HousePlants/train/images/Chlorophytumcomosum_149_jpg.rf.5dc951e4701825d7c9869aa7a53d6811.jpg,Spider-Plant-Chloropythum-Comosum-,leaf curl,unhealthy,"[('Spider-Plant-Chloropythum-Comosum-', 0.5, 0.5, 1.0, 1.0), ('Unhealthy-Leaf-Curl', 0.17919921875, 0.5343065693430656, 0.35791015625, 0.9313868613138686), ('Spider-Plant-Chloropythum-Comosum-', 0.09716796875, 0.8328467153284671, 0.19384765625, 0.3343065693430657), ('Spider-Plant-Chloropythum-Comosum-', 0.666015625, 0.814963503649635, 0.3427734375, 0.3700729927007299), ('Spider-Plant-Chloropythum-Comosum-', 0.50244140625, 0.20875912408759123, 0.685546875, 0.41751824817518246), ('Unhealthy-Leaf-Curl', 0.689453125, 0.3927007299270073, 0.5908203125, 0.6321167883211679), ('Unhealthy-Leaf-Curl', 0.88330078125, 0.39854014598540144, 0.2138671875, 0.5802919708029197)]"
HousePlant,train,datasets/HousePlants/train/images/Late-Blight-4_jpg.rf.38905d97b797c8e3cee9e49863fc887b.jpg,,late blight,unhealthy,[]
HousePlant,train,datasets/HousePlants/train/images/Dehydration-3-_jpg.rf.4ba42d794dfda6e989dd3ab0eaa48355.jpg,,dehydration,unhealthy,"[('Unhealthy-Dehydration', 0.4785992217898833, 0.43359375, 0.9571984435797666, 0.8671875), ('Unhealthy-Dehydration', 0.425745784695201, 0.35009765625, 0.3767833981841764, 0.390625), ('Unhealthy-Dehydration', 0.5635538261997406, 0.56201171875, 0.41245136186770426, 0.56201171875), ('Unhealthy-Dehydration', 0.8553826199740596, 0.34716796875, 0.2892347600518807, 0.2587890625)]"
HousePlant,train,datasets/HousePlants/train/images/3783_jpg.rf.f8dc3aa248474d3374fcb6b048f0fc06.jpg,Aloe-Vera-Aloe-barbadensis-,rust,unhealthy,"[('Unhealthy-Rust', 0.4633333333333333, 0.625, 0.08166666666666667, 0.1825), ('Aloe-Vera-Aloe-barbadensis-', 0.70875, 0.35375, 0.45, 0.61625), ('Unhealthy-Rust', 0.31916666666666665, 0.56, 0.08, 0.20625), ('Unhealthy-Rust', 0.605, 0.681875, 0.10083333333333333, 0.1825), ('Aloe-Vera-Aloe-barbadensis-', 0.41041666666666665, 0.3225, 0.5741666666666667, 0.645), ('Unhealthy-Rust', 0.5683333333333334, 0.135, 0.135, 0.17375), ('Aloe-Vera-Aloe-barbadensis-', 0.355, 0.295625, 0.16416666666666666, 0.2175), ('Aloe-Vera-Aloe-barbadensis-', 0.41125, 0.46375, 0.17166666666666666, 0.15625), ('Aloe-Vera-Aloe-barbadensis-', 0.24916666666666668, 0.36875, 0.16833333333333333, 0.14375), ('Aloe-Vera-Aloe-barbadensis-', 0.36291666666666667, 0.143125, 0.19416666666666665, 0.1575), ('Aloe-Vera-Aloe-barbadensis-', 0.64, 0.425, 0.19333333333333333, 0.28375)]"
HousePlant,train,datasets/HousePlants/train/images/20240928_165431_jpg.rf.2d5c5a9829b7121538d922b06fef81b4.jpg,Inch-Plant-Tradescantia-zebrina-,,healthy,"[('Inch-Plant-Tradescantia-zebrina-', 0.41650390625, 0.7109375, 0.109375, 0.09635416666666667), ('Inch-Plant-Tradescantia-zebrina-', 0.4833984375, 0.7897135416666666, 0.06884765625, 0.09049479166666667), ('Inch-Plant-Tradescantia-zebrina-', 0.49072265625, 0.4817708333333333, 0.07421875, 0.08984375), ('Inch-Plant-Tradescantia-zebrina-', 0.53271484375, 0.5774739583333334, 0.10498046875, 0.054036458333333336), ('Inch-Plant-Tradescantia-zebrina-', 0.35888671875, 0.857421875, 0.072265625, 0.087890625), ('Inch-Plant-Tradescantia-zebrina-', 0.25830078125, 0.8606770833333334, 0.080078125, 0.064453125), ('Inch-Plant-Tradescantia-zebrina-', 0.46923828125, 0.91015625, 0.03759765625, 0.061848958333333336), ('Inch-Plant-Tradescantia-zebrina-', 0.443359375, 0.87109375, 0.048828125, 0.052734375), ('Inch-Plant-Tradescantia-zebrina-', 0.36865234375, 0.40625, 0.076171875, 0.10026041666666667), ('Inch-Plant-Tradescantia-zebrina-', 0.1328125, 0.5592447916666666, 0.072265625, 0.13411458333333334)]"
HousePlant,train,datasets/HousePlants/train/images/Chlorophytumcomosum_163_jpg.rf.50151124665ce3182cdad2a48556551c.jpg,Spider-Plant-Chloropythum-Comosum-,,healthy,"[('Spider-Plant-Chloropythum-Comosum-', 0.5020833333333333, 0.46375, 0.8441666666666666, 0.9275)]"
HousePlant,train,datasets/HousePlants/train/images/20240925_141044_jpg.rf.271b788300459aa961901104e1a12691.jpg,Philippine-Evergreen-Aglaonema-Commutatum-,,healthy,"[('Philippine-Evergreen-Aglaonema-Commutatum-', 0.12890625, 0.58203125, 0.205078125, 0.24479166666666666), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.29931640625, 0.6344401041666666, 0.17333984375, 0.20247395833333334), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.1845703125, 0.7626953125, 0.203125, 0.255859375), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.240966796875, 0.8382161458333334, 0.12939453125, 0.20377604166666666), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.0615234375, 0.7766927083333334, 0.123046875, 0.20572916666666666), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.52734375, 0.5686848958333334, 0.1728515625, 0.18684895833333334), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.597900390625, 0.7190755208333334, 0.24169921875, 0.17057291666666666), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.5771484375, 0.8590494791666666, 0.11865234375, 0.259765625), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.370361328125, 0.8704427083333334, 0.119140625, 0.21940104166666666), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.535888671875, 0.39453125, 0.1552734375, 0.10807291666666667), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.282470703125, 0.2828776041666667, 0.103515625, 0.17578125), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.11865234375, 0.22005208333333334, 0.15478515625, 0.130859375), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.115234375, 0.2975260416666667, 0.13330078125, 0.14453125), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.20703125, 0.3395182291666667, 0.08544921875, 0.115234375), ('Philippine-Evergreen-Aglaonema-Commutatum-', 0.18798828125, 0.4358723958333333, 0.12890625, 0.12239583333333333)]"
HousePlant,train,datasets/HousePlants/train/images/d89eb742d2a1292df8b02ee2342ffb29_jpg.rf.3a05ccb80d8155bab4a712a6b34d6efd.jpg,Alocasia-Green-Velvet-Micholitziana-Frydek-,,healthy,"[('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.49072265625, 0.5087890625, 0.857421875, 0.970703125), ('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.4423828125, 0.6139322916666666, 0.26416015625, 0.6516927083333334), ('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.664306640625, 0.6774088541666666, 0.22900390625, 0.4765625)]"
HousePlant,train,datasets/HousePlants/train/images/10001_jpeg.rf.5b6f4689050dfca52416899a781c60c7.jpg,Pothos-Epipremnum-aureum-,,healthy,"[('Pothos-Epipremnum-aureum-', 0.472412109375, 0.37646484375, 0.185546875, 0.18994140625), ('Pothos-Epipremnum-aureum-', 0.59033203125, 0.411376953125, 0.1259765625, 0.10546875), ('Pothos-Epipremnum-aureum-', 0.58544921875, 0.278564453125, 0.134765625, 0.1357421875), ('Pothos-Epipremnum-aureum-', 0.754150390625, 0.24365234375, 0.16796875, 0.1279296875), ('Pothos-Epipremnum-aureum-', 0.683837890625, 0.32568359375, 0.0732421875, 0.072265625), ('Pothos-Epipremnum-aureum-', 0.53369140625, 0.552490234375, 0.1162109375, 0.10888671875), ('Pothos-Epipremnum-aureum-', 0.435546875, 0.520751953125, 0.095703125, 0.083984375), ('Pothos-Epipremnum-aureum-', 0.5234375, 0.667724609375, 0.1337890625, 0.1162109375), ('Pothos-Epipremnum-aureum-', 0.4716796875, 0.578125, 0.08642578125, 0.07568359375), ('Pothos-Epipremnum-aureum-', 0.386474609375, 0.56005859375, 0.0810546875, 0.06689453125), ('Pothos-Epipremnum-aureum-', 0.543701171875, 0.484130859375, 0.06884765625, 0.07666015625), ('Pothos-Epipremnum-aureum-', 0.565185546875, 0.097900390625, 0.1845703125, 0.1376953125)]"
HousePlant,train,datasets/HousePlants/train/images/Dehydration_SnakePlant-6-_jpeg.rf.cd7e9d10d81cc74ed5c3ee9f00c86ad1.jpg,Spider-Plant-Chloropythum-Comosum-,"dehydration, sunburn",unhealthy,"[('Spider-Plant-Chloropythum-Comosum-', 0.26197916666666665, 0.5474853515625, 0.3788085937500001, 0.24728027343749998), ('Unhealthy-Sunburn', 0.1433984375, 0.5912109375, 0.13561197916666665, 0.15530273437499997), ('Unhealthy-Sunburn', 0.8374739583333333, 0.6794189453125, 0.10667317708333328, 0.07689941406250012), ('Spider-Plant-Chloropythum-Comosum-', 0.6379492187499999, 0.81361328125, 0.14564453124999996, 0.3030712890625)]"
HousePlant,train,datasets/HousePlants/train/images/20241002_131140_jpg.rf.be1fd61f6cb9deab26a1f20927748035.jpg,Snake-Plant-Dracaena-trifasciata-,,healthy,"[('Snake-Plant-Dracaena-trifasciata-', 0.07958984375, 0.8294270833333334, 0.142578125, 0.20638020833333334), ('Snake-Plant-Dracaena-trifasciata-', 0.08984375, 0.5755208333333334, 0.11962890625, 0.19205729166666666), ('Snake-Plant-Dracaena-trifasciata-', 0.416015625, 0.7102864583333334, 0.078125, 0.23111979166666666), ('Snake-Plant-Dracaena-trifasciata-', 0.532470703125, 0.8463541666666666, 0.10888671875, 0.3072916666666667), ('Snake-Plant-Dracaena-trifasciata-', 0.474609375, 0.9130859375, 0.12890625, 0.173828125), ('Snake-Plant-Dracaena-trifasciata-', 0.263671875, 0.4596354166666667, 0.12646484375, 0.21354166666666666), ('Snake-Plant-Dracaena-trifasciata-', 0.365234375, 0.4407552083333333, 0.0810546875, 0.2682291666666667)]"
HousePlant,train,datasets/HousePlants/train/images/IMG_20241004_103557_jpg.rf.79867ceea1c07ff7eebf8fa286a353d6.jpg,Spider-Plant-Chloropythum-Comosum-,,healthy,"[('Spider-Plant-Chloropythum-Comosum-', 0.5, 0.58447265625, 1.0, 0.8310546875), ('Spider-Plant-Chloropythum-Comosum-', 0.54296875, 0.609375, 0.140625, 0.19970703125), ('Spider-Plant-Chloropythum-Comosum-', 0.4680989583333333, 0.766845703125, 0.3111979166666667, 0.46630859375), ('Spider-Plant-Chloropythum-Comosum-', 0.3011067708333333, 0.44677734375, 0.2662760416666667, 0.17822265625), ('Spider-Plant-Chloropythum-Comosum-', 0.3785807291666667, 0.377197265625, 0.18489583333333334, 0.22314453125), ('Spider-Plant-Chloropythum-Comosum-', 0.6155598958333334, 0.492919921875, 0.3626302083333333, 0.181640625)]"
HousePlant,train,datasets/HousePlants/train/images/Monsteradeliciosa_54_jpg.rf.3960402f9f2eed4152619c0f89737f34.jpg,Swiss Cheese Plant -Monstera Deliciosa-,,healthy,"[('Swiss Cheese Plant -Monstera Deliciosa-', 0.5, 0.3361749444032617, 1.0, 0.6723498888065234), ('Swiss Cheese Plant -Monstera Deliciosa-', 0.8453703703703703, 0.2920681986656783, 0.30925925925925923, 0.27724240177909565), ('Swiss Cheese Plant -Monstera Deliciosa-', 0.3523148148148148, 0.47368421052631576, 0.7046296296296296, 0.5455893254262416), ('Swiss Cheese Plant -Monstera Deliciosa-', 0.8046296296296296, 0.5426241660489252, 0.275, 0.24610822831727205), ('Swiss Cheese Plant -Monstera Deliciosa-', 0.2550925925925926, 0.6167531504818384, 0.34074074074074073, 0.21645663454410674), ('Swiss Cheese Plant -Monstera Deliciosa-', 0.5310185185185186, 0.14232765011119347, 0.2777777777777778, 0.229058561897702), ('Swiss Cheese Plant -Monstera Deliciosa-', 0.24259259259259258, 0.33209785025945143, 0.4842592592592593, 0.3446997776130467)]"
HousePlant,train,datasets/HousePlants/train/images/4_jpg.rf.f328496887bc97f760a96205087f7752.jpg,Rubber-Fig-Ficus-Elastica-,,healthy,"[('Rubber-Fig-Ficus-Elastica-', 0.5903540903540904, 0.326171875, 0.7533577533577533, 0.65234375)]"
HousePlant,train,datasets/HousePlants/train/images/bacterial-leaf-spot-780x520_jpg.rf.9e02f7eaccaed10449d60a34f2d7e4d8.jpg,,bacterial spot,unhealthy,[]
HousePlant,train,datasets/HousePlants/train/images/20241002_131556_jpg.rf.c0099dc072c5935181cdfb83706a04d9.jpg,Swiss Cheese Plant -Monstera Deliciosa-,,healthy,"[('Swiss Cheese Plant -Monstera Deliciosa-', 0.37548828125, 0.70703125, 0.205078125, 0.5729166666666666), ('Swiss Cheese Plant -Monstera Deliciosa-', 0.115234375, 0.6223958333333334, 0.23046875, 0.2766927083333333)]"
HousePlant,train,datasets/HousePlants/train/images/alocasia_jpg.rf.5dbabb89a3af251ca13c6c01104d6200.jpg,Alocasia-Green-Velvet-Micholitziana-Frydek-,,healthy,"[('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.5, 0.5, 1.0, 1.0), ('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.5327868852459017, 0.39, 0.5401639344262295, 0.450625), ('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.7262295081967213, 0.619375, 0.5418032786885246, 0.336875), ('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.7012295081967214, 0.8515625, 0.3180327868852459, 0.2425), ('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.48975409836065575, 0.8721875, 0.3073770491803279, 0.255625), ('Alocasia-Green-Velvet-Micholitziana-Frydek-', 0.41024590163934427, 0.1871875, 0.6319672131147541, 0.374375)]"
HousePlant,train,datasets/HousePlants/train/images/20230816_193733_jpg.rf.1f9bd168d4526a625b2dc708b7c4589f.jpg,Aloe-Vera-Aloe-barbadensis-,rust,unhealthy,"[('Aloe-Vera-Aloe-barbadensis-', 0.24169921875, 0.7291666666666666, 0.31396484375, 0.4225260416666667), ('Unhealthy-Rust', 0.10498046875, 0.771484375, 0.01220703125, 0.017578125), ('Aloe-Vera-Aloe-barbadensis-', 0.318359375, 0.560546875, 0.02685546875, 0.1484375), ('Aloe-Vera-Aloe-barbadensis-', 0.40869140625, 0.60546875, 0.02197265625, 0.12044270833333333), ('Unhealthy-Rust', 0.509765625, 0.708984375, 0.08642578125, 0.0859375), ('Aloe-Vera-Aloe-barbadensis-', 0.5244140625, 0.5149739583333334, 0.1962890625, 0.2591145833333333), ('Aloe-Vera-Aloe-barbadensis-', 0.41455078125, 0.583984375, 0.10693359375, 0.109375), ('Unhealthy-Rust', 0.2734375, 0.6842447916666666, 0.06103515625, 0.039713541666666664)]"
HousePlant,train,datasets/HousePlants/train/images/4040_jpg.rf.4d13cd52e806b0535f98d9e72c9b7ac6.jpg,Aloe-Vera-Aloe-barbadensis-,,healthy,"[('Aloe-Vera-Aloe-barbadensis-', 0.338125, 0.7579166666666667, 0.19875, 0.14083333333333334), ('Aloe-Vera-Aloe-barbadensis-', 0.136875, 0.6191666666666666, 0.20375, 0.30666666666666664), ('Aloe-Vera-Aloe-barbadensis-', 0.638125, 0.8095833333333333, 0.42875, 0.07083333333333333), ('Aloe-Vera-Aloe-barbadensis-', 0.31875, 0.5958333333333333, 0.0725, 0.125), ('Aloe-Vera-Aloe-barbadensis-', 0.12, 0.8545833333333334, 0.2375, 0.08583333333333333), ('Aloe-Vera-Aloe-barbadensis-', 0.2396625, 0.6895083333333333, 0.08567500000000003, 0.156875)]"
HousePlant,train,datasets/HousePlants/train/images/20240925_133832_jpg.rf.99e240b4c1edb9760087a5997d0be46e.jpg,Snake-Plant-Dracaena-trifasciata-,,healthy,"[('Snake-Plant-Dracaena-trifasciata-', 0.4794921875, 0.9537760416666666, 0.1123046875, 0.09244791666666667), ('Snake-Plant-Dracaena-trifasciata-', 0.460693359375, 0.783203125, 0.1103515625, 0.2421875), ('Snake-Plant-Dracaena-trifasciata-', 0.8017578125, 0.8880208333333334, 0.15625, 0.18359375)]"
HousePlant,train,datasets/HousePlants/train/images/Monsteradeliciosa_135_jpg.rf.ef9372491e6f260ff2878f5d6bde3611.jpg,Swiss Cheese Plant -Monstera Deliciosa-,,healthy,"[('Swiss Cheese Plant -Monstera Deliciosa-', 0.5, 0.5, 1.0, 1.0), ('Swiss Cheese Plant -Monstera Deliciosa-', 0.405, 0.5476858345021038, 0.287, 0.30925666199158486), ('Swiss Cheese Plant -Monstera Deliciosa-', 0.75225, 0.4126928471248247, 0.18, 0.2762973352033661), ('Swiss Cheese Plant -Monstera Deliciosa-', 0.716, 0.7240532959326789, 0.568, 0.5518934081346424)]"
