timestamp,temperature_c,temperature_f,humidity,soil_moisture,lux,ph,soil_moisture_1,soil_temp,conductivity,nitrogen,phosphorus,potassium,heater,water_pump,nutrients_pump,mister,white_light,LED_light,live_stream
2025-04-27T18:08:54.332932,0,0,0,0.85,40,5.91,13.4,19.8,549,39,54,109,off,off,off,off,off,0,on
2025-04-27T18:08:55.594729,24.2,75.56,41.0,0.85,40,5.81,13.4,19.8,545,38,54,109,off,off,off,off,off,0,on
2025-04-27T18:08:56.855959,24.3,75.74000000000001,41.0,0.85,40,5.81,13.4,19.8,550,39,55,110,off,off,off,off,off,0,on
2025-04-27T18:09:01.248245,24.3,75.74000000000001,41.0,0.85,40,5.93,13.4,19.8,547,38,54,108,off,off,off,off,off,0,on
2025-04-27T18:09:02.509340,24.3,75.74000000000001,41.0,0.85,40,5.96,13.4,19.8,541,38,54,108,off,off,off,off,off,0,on
2025-04-27T18:09:03.817185,24.3,75.74000000000001,41.0,45.55,38,5.91,13.4,19.8,548,39,54,109,off,off,off,off,off,0,on
2025-04-27T18:09:05.079226,24.8,76.64,41.0,45.55,38,5.91,13.4,19.8,539,38,53,107,off,off,off,off,off,0,on
2025-04-27T18:09:06.340805,24.9,76.82,41.0,44.97,39,6.0,13.4,19.8,547,39,54,109,off,off,off,off,off,0,on
2025-04-27T18:09:07.617246,24.5,76.1,41.0,44.97,39,5.88,13.4,19.8,550,39,55,110,off,off,off,off,off,0,on
2025-04-27T18:09:08.847463,24.5,76.1,41.0,45.85,39,5.95,13.4,19.8,543,38,54,108,off,off,off,off,off,0,on
2025-04-27T18:09:10.112701,24.6,76.28,41.0,45.85,39,5.9,13.4,19.8,549,39,54,109,off,off,off,off,off,0,on
2025-04-27T18:09:11.388757,24.2,75.56,41.0,45.94,39,5.96,13.4,19.8,548,38,54,108,off,off,off,off,off,0,on
2025-04-27T18:09:12.666998,24.0,75.2,41.0,45.94,39,5.99,13.4,19.8,541,38,54,108,off,off,off,off,off,0,on
2025-04-27T18:09:13.925458,24.0,75.2,41.0,45.65,39,5.92,13.4,19.8,549,39,54,109,off,off,off,off,off,0,on
2025-04-27T18:09:15.236368,24.0,75.2,41.0,45.65,39,5.78,13.4,19.8,544,38,54,108,off,off,off,off,off,0,on
2025-04-27T18:09:16.527869,24.7,76.46000000000001,41.0,46.04,39,5.78,13.3,19.8,549,39,54,109,off,off,off,off,off,0,on
2025-04-27T18:09:17.789461,24.8,76.64,41.0,46.04,39,5.8,13.3,19.8,540,38,54,108,off,off,off,off,off,0,on
2025-04-27T18:09:19.068913,24.8,76.64,41.0,45.36,39,5.76,13.3,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:20.333470,24.8,76.64,41.0,45.36,39,5.77,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:21.589884,24.3,75.74000000000001,41.0,45.94,39,5.77,13.4,19.8,537,38,53,107,off,off,off,on,off,0,on
2025-04-27T18:09:22.882077,24.8,76.64,41.0,45.94,39,5.88,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:24.176366,24.8,76.64,41.0,45.65,39,5.86,13.4,19.8,538,38,53,107,off,off,off,on,off,0,on
2025-04-27T18:09:25.486154,24.8,76.64,41.0,45.65,39,5.76,13.4,19.8,552,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:26.747519,24.8,76.64,41.0,46.04,36,5.82,13.4,19.8,548,38,53,107,off,off,off,on,off,0,on
2025-04-27T18:09:28.040978,24.6,76.28,41.0,46.04,36,5.82,13.4,19.8,548,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:29.346016,24.6,76.28,41.0,45.94,35,5.95,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:30.611470,24.6,76.28,41.0,45.94,35,5.94,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:31.906007,24.6,76.28,41.0,45.75,36,5.93,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:33.183562,24.6,76.28,41.0,45.75,36,5.78,13.4,19.8,545,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:34.483837,24.6,76.28,41.0,45.26,37,5.8,13.3,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:35.736937,24.1,75.38,41.0,45.26,37,5.9,13.3,19.8,546,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:37.074535,24.1,75.38,41.0,45.75,38,5.85,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:38.356090,24.1,75.38,41.0,45.75,38,5.76,13.4,19.8,547,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:39.659830,24.5,76.1,41.0,46.14,35,5.76,13.3,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:40.926877,24.9,76.82,41.0,46.14,35,5.75,13.5,19.8,551,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:42.173266,24.9,76.82,41.0,45.65,35,5.75,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:43.450512,24.4,75.92,41.0,45.65,35,5.75,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:44.755853,24.7,76.46000000000001,41.0,45.45,35,5.78,13.4,19.8,547,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:46.036291,24.0,75.2,41.0,45.45,35,5.78,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:47.325942,24.5,76.1,41.0,45.75,36,5.86,13.4,19.8,549,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:48.592398,24.5,76.1,41.0,45.75,36,5.78,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:49.913485,24.1,75.38,41.0,46.24,36,5.76,13.4,19.8,553,38,54,109,off,off,off,on,off,0,on
2025-04-27T18:09:51.210740,24.3,75.74000000000001,41.0,46.24,36,5.76,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:52.499262,24.1,75.38,41.0,46.04,35,5.78,13.4,19.8,552,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:53.765674,24.7,76.46000000000001,41.0,46.04,35,5.78,13.3,19.8,552,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:55.096348,24.0,75.2,41.0,45.75,35,5.78,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:56.400639,24.2,75.56,41.0,45.75,35,5.84,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:57.714896,24.2,75.56,41.0,45.45,37,5.86,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:09:59.012017,24.2,75.56,41.0,45.45,37,5.86,13.5,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:00.266956,24.2,75.56,41.0,45.75,36,5.86,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:01.577110,24.4,75.92,41.0,45.75,36,5.85,13.4,19.8,547,39,54,109,off,off,off,on,off,0,on
2025-04-27T18:10:02.883997,24.4,75.92,41.0,45.65,37,5.86,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:04.172824,24.5,76.1,41.0,45.65,37,5.85,13.4,19.8,542,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:10:05.454413,24.5,76.1,41.0,45.55,37,5.85,13.4,19.8,550,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:06.699843,24.5,76.1,41.0,45.55,37,5.84,13.4,19.8,542,38,54,108,off,off,off,on,off,0,on
2025-04-27T18:10:07.985285,24.7,76.46000000000001,41.0,45.55,37,5.84,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:09.267660,24.2,75.56,41.0,45.55,37,5.84,13.3,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:10.549199,24.4,75.92,41.0,45.45,32,5.83,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
2025-04-27T18:10:11.826682,24.4,75.92,41.0,45.45,32,5.84,13.4,19.8,551,39,55,110,off,off,off,on,off,0,on
